card_no,adv_tag
ARC-001,"[""移动·单位"", ""牌库·回收"", ""战力·增强单体"", ""战力·增强本回合"", ""主动·支付费用技能"", ""主动·可重复""]"
ARC-002,"[""主动·横置技能"", ""伤害·单体"", ""伤害·等同战力""]"
ARC-003,"[""持续·光环常驻"", ""复制·效果技能""]"
ARC-004,"[""状态·以活跃进场"", ""触发·进攻"", ""摧毁·单位""]"
ARC-005,"[""触发·弃置"", ""状态·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
ARC-006,"[""持续·光环常驻"", ""触发·摧毁"", ""衍生·单位""]"
FND-196,"[""触发·进场"", ""战力·增强单体"", ""战力·增强本回合""]"
FND-249,"[""触发·打出"", ""状态·休眠化"", ""符文·召出""]"
FND-251,"[""触发·回合开始"", ""牌库·抽牌""]"
FND-259,"[""主动·横置技能"", ""主动·支付费用技能"", ""移动·单位"", ""互动·召回基地""]"
FND-265,"[""主动·横置技能"", ""主动·支付费用技能"", ""衍生·单位""]"
OGN-001,"[""状态·以活跃进场"", ""费用·可选额外""]"
OGN-002,"[""触发·进场"", ""费用·可选额外"", ""牌库·弃牌"", ""费用·减费""]"
OGN-003,"[""触发·进场"", ""牌库·弃牌""]"
OGN-004,"[""战力·增强单体"", ""战力·增强本回合""]"
OGN-005,"[""伤害·单体"", ""牌库·抽牌""]"
OGN-006,"[""触发·弃置"", ""费用·可选额外"", ""费用·免费打出""]"
OGN-008,"[""牌库·弃牌"", ""伤害·单体""]"
OGN-009,"[""伤害·单体""]"
OGN-010,"[""状态·以活跃进场"", ""费用·可选额外""]"
OGN-011,"[""持续·光环常驻"", ""状态·以活跃进场""]"
OGN-012,"[""触发·打出"", ""费用·减费""]"
OGN-013,"[""状态·免疫""]"
OGN-014,"[""费用·条件减费"", ""伤害·单体""]"
OGN-015,"[""持续·光环常驻"", ""战力·条件加成""]"
OGN-016,"[""触发·进场"", ""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-017,"[""状态·以休眠进场"", ""主动·横置技能"", ""伤害·单体""]"
OGN-018,"[""持续·光环常驻"", ""限制·行动禁止""]"
OGN-019,"[""战力·条件加成"", ""移动·单位""]"
OGN-020,"[""触发·进场"", ""触发·打出"", ""牌库·弃牌"", ""牌库·抽牌""]"
OGN-021,"[""主动·横置技能"", ""触发·打出"", ""状态·以活跃进场""]"
OGN-022,"[""摧毁·装备"", ""摧毁·全体清场""]"
OGN-023,"[""牌库·弃牌"", ""主动·横置技能"", ""保护·免死替身"", ""状态·休眠化"", ""互动·召回基地""]"
OGN-024,"[""伤害·单体"", ""牌库·抽牌""]"
OGN-025,"[""牌库·查看"", ""牌库·放逐"", ""费用·免费打出"", ""牌库·放回""]"
OGN-026,"[""触发·进场"", ""限制·行动禁止""]"
OGN-027,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合"", ""状态·激活""]"
OGN-028,"[""持续·光环常驻"", ""战力·永久成长""]"
OGN-029,"[""伤害·单体""]"
OGN-030,"[""触发·进场"", ""牌库·弃牌""]"
OGN-031,"[""触发·进场"", ""费用·减费""]"
